Time Lag,Batch Size,Learning Rate,Units,Dropout Rate,RMSE,Training Time
1,32,0.001,50,0.2,25.06682866979491,14.418516159057617
1,32,0.001,50,0.3,28.42392454075559,9.19405221939087
1,32,0.001,80,0.2,28.664128554020373,13.115383386611938
1,32,0.001,80,0.3,29.93835929275071,14.231737613677979
1,32,0.001,128,0.2,26.115484159193983,19.716148376464844
1,32,0.001,128,0.3,22.304415203341577,10.797317266464233
1,32,0.01,50,0.2,21.72587291434926,16.632919311523438
1,32,0.01,50,0.3,46.97380002327967,7.74951696395874
1,32,0.01,80,0.2,23.649839824825882,29.75906991958618
1,32,0.01,80,0.3,42.88878249846651,11.263351917266846
1,32,0.01,128,0.2,28.170410138060756,6.26334023475647
1,32,0.01,128,0.3,25.642295486080606,20.96069025993347
1,32,0.1,50,0.2,24.955528067348798,13.137109756469727
1,32,0.1,50,0.3,22.53576383075621,14.593995332717896
1,32,0.1,80,0.2,34.71376026117265,14.817968130111694
1,32,0.1,80,0.3,28.735960439167457,7.482525825500488
1,32,0.1,128,0.2,24.422860499484003,10.762553453445435
1,32,0.1,128,0.3,23.337567470270002,10.531143188476562
1,64,0.001,50,0.2,26.847147482654268,9.237557888031006
1,64,0.001,50,0.3,23.85347832697089,17.736517667770386
1,64,0.001,80,0.2,35.158497712796375,10.290355205535889
1,64,0.001,80,0.3,23.73009403832444,11.636501550674438
1,64,0.001,128,0.2,29.302855501257604,8.37074589729309
1,64,0.001,128,0.3,25.364635338252697,14.604347944259644
1,64,0.01,50,0.2,31.011972746985315,10.501855850219727
1,64,0.01,50,0.3,22.84049737166331,13.121168375015259
1,64,0.01,80,0.2,23.869278232872123,14.121466875076294
1,64,0.01,80,0.3,27.42849959284497,10.510175704956055
1,64,0.01,128,0.2,26.363444204073897,17.279215335845947
1,64,0.01,128,0.3,34.328472276951885,13.313752889633179
1,64,0.1,50,0.2,36.70181044616546,9.791774988174438
1,64,0.1,50,0.3,25.445749914102517,7.656044244766235
1,64,0.1,80,0.2,32.070381506519915,10.014326095581055
1,64,0.1,80,0.3,36.43250731734068,9.412426710128784
1,64,0.1,128,0.2,27.250828157713002,5.7939958572387695
1,64,0.1,128,0.3,23.1186273934508,11.301774978637695
1,128,0.001,50,0.2,39.62938993218937,6.852079153060913
1,128,0.001,50,0.3,32.84500458412525,8.677666187286377
1,128,0.001,80,0.2,28.58030963945442,10.698026418685913
1,128,0.001,80,0.3,28.243491214036318,6.05909276008606
1,128,0.001,128,0.2,29.481159673997247,5.6071765422821045
1,128,0.001,128,0.3,38.00801482369671,8.274876594543457
1,128,0.01,50,0.2,32.99146243404689,4.759493827819824
1,128,0.01,50,0.3,35.629799763288545,11.505594491958618
1,128,0.01,80,0.2,32.20188764662047,4.924585819244385
1,128,0.01,80,0.3,25.083514924928235,11.506314039230347
1,128,0.01,128,0.2,44.84241162528876,8.337746858596802
1,128,0.01,128,0.3,42.705405781473516,6.7013092041015625
1,128,0.1,50,0.2,36.5106910027788,6.911804437637329
1,128,0.1,50,0.3,28.258897011046567,6.731866121292114
1,128,0.1,80,0.2,27.486809413641158,5.99169921875
1,128,0.1,80,0.3,36.10146870519926,7.373207330703735
1,128,0.1,128,0.2,43.10024913648168,7.516664505004883
1,128,0.1,128,0.3,27.553561111323283,14.353407859802246
5,32,0.001,50,0.2,40.701264211765015,7.26521372795105
5,32,0.001,50,0.3,30.156126568523472,14.420304775238037
5,32,0.001,80,0.2,29.43242722320679,10.59694218635559
5,32,0.001,80,0.3,38.22237846391619,17.695520877838135
5,32,0.001,128,0.2,30.694702317439475,8.265122175216675
5,32,0.001,128,0.3,40.769577912520404,7.717843294143677
5,32,0.01,50,0.2,28.737271202448945,12.473668813705444
5,32,0.01,50,0.3,30.627374568953076,18.05463457107544
